title,content,category
빠른입장은,역시 모바일 티켓이죠 ^^,4
첫경기 관람,첫 경기 관람인데 너무 재미있게 봤어요~~,4
두산화이팅,아들은 휴가중..^^아빠와 아들 함께 두산 응원하러 경기장에 출동.... 더운날 선수들 모두모두 화이팅 입니다 곽빈 힘내세요,4
수원수원수원!!!,"우리는 수원삼성이다
부셔버려 안양!!!!!!!!!
지지대더비의 승자는 항상 수원삼성 이였다
1부로 올라가는 날 머지 않았다
힘을 내라 수원!",4
축구,너무 재미있었다,4
행복했습니다.,평일이고 더웠지만 승리해서 좋았습니다~,4
미르스타다움,트랙이 있는 구장이라 시야가 걱정 되었는데 최근에 건립된 구장이라 관람이 매우 좋았습니다.,4
모든 선수들 파이팅!,"부상없이, 멋진 경기력 펼치길 바랍니다.더운 날씨에도 수고가 많아요.",4
좋아요~! 몸만가면 되고,"바로앞에 공원있어서 산책하기도 좋구요
추천합니다",4
미르에서으ㅏ 첫 경기,주차나 교통등이 좀 아쉬운 경기였지만 그래도 경기는 너무너무 좋았습니다,4
제 인생최고의.캠핑장,"집에서 40분거리  
2박하기좋고 식량떨어지면 20여분거리 안성스타필드로 장보기도 좋고.
샤워장, 물놀이장, 화장실,편의점  
너무 좋아요. 
특히 아들이 너무 좋아하는곳

A사이트 강추",4
강력추천,모바일 티켓으로 별도 발행없이 잘 다녀옴,4
미르 첫 경기 좋았습니다.,미르 첫경기 주차난에 너무 더웠지만 이겨서 너무 행복했습니다.,4
용인 미르 스타디움에서의 첫 경기,"좋았다! 시설도 좋았고, 시설물에 상태도 좋았다!딱 한가지, 주차시설이 부족한게 흠이지만 경기 마치고 경찰분들의 도로교통 인도로 진짜 막힘 없이 올 수 있었다. 모든것에 감사한다!",4
수원삼성짱,미르에서 직관은 처음인데 시설도 좋고 깔끔하고 승리해서 더더욱 좋습니다,4
뜻깊은승리 첫 미르스타디움,"미르스타디움 깨끗하고 쾌적한경기였네요.
굿굿",4
직관,이겨서 좋았습니다.,4
수원경기는 역시 직관이,최고 입니다! 그들의 응원열기 국내 원탑,4
지지대더비,"이겨서 다행입니다.
우리 승격할 수 있습니다.",4
올해 마지막 경기,"였네요.
수원 축구, 그리울 겁니다.",4
이기자,화이팅,4
경기는 졌지만,"잘봤습니다
에어컨 좋아요",4
힐링하고 왔어요^^,"경관도 아름답고
시설도 깨끗하고
편히 쉬다 왔어요
다음이 기대 됩니다",4
좋아,좋아용,4
정비필요.,"홀컵주변 너무엉망입니다.
이런데서 대회를한다는게 창피합니다.
정비후 대회개체요합니다",4
재밌어요,경기가 길어져서 힘들었지만 이겨서 다행이었어요,4
재밌어요,경기가 길어져서 힘들었지만 이겨서 다행이었어요,4
