title,content
잉글리쉬호른 짱!,첫 오케스트라였는데 너무 재밌고 감동적이었습니다지휘관 짱! 오케스트라 짱! 잉글리쉬호른 짱!
여자친구랑 보러왔어요~,"평소 지브리 영화 넘 좋아해서 멜론에 음악 듣고 했는데, 앞에서 연주 들으니까 너무너무 좋았어요.다음번에도 시간이 되면 꼭 들으러 올꺼 같습니다. 가격도 생각보다 저렴해서 좋았습니다. 의자도 편해서 보는 내내 편하게 음악을 들을수 있었습니다. 다른 지인들한테도 추천해드리고 싶은 공연이였습니다.ㅎㅎ!!"
좋아요,아는 영화 음악이 나오니 좋은데 영화를 알면 더 좋아요
감동이 있었던 공연,주제도 뭔가 생각할 여지가 있고 공연도 굉장히 다채롭고 풍성하여 2시간이 금방 지나갔습니다. 귀호강 많이 하고 옵니다
특별한 힐링콘서트,"연주된 음악들은 들으면 알 수 있는 친숙한 음악들이었습니다.때론 감상하고 때론 따라 부르면서 즐길 수 있어 정말 재미있고 좋았습니다.클래식, 판소리, 오페라, 뮤지컬, OST 등등 다양한 장르의 음악을 한 자리에서 들을 수 있는 너무 좋은 콘서트였습니다."
공연 잘 보았습니다 ^^,공연 너무 재밌게 잘 보았습니다 ^^
오키스케라로 보고...,이 시리즈별로 계속 보고 싶습니다... 더 집중도 잘 되고 멀입도 좋고 꾸준히 나왔으면 좋겠어요
최고였습니다!!,"서울페스타 공연 두번째 관람이었는데, 
역쉬!!! 최고였습니다!!!"
월드 시네마 마티네콘서트,이번 공연은 해설이 포함되어 있어 정말 좋았습니다.각 곡에 대한 배경 설명을 들으니 감상이 깊어졌습니다.특히 지휘자의 카리스마 넘치는 모습이 인상적이었습니다.&#65279;
한스짐머 영화음악 콘서트,"너무나 기대했던 한스짐머 영화음악 콘서트, 첫 인터스텔라 음악이 시작되자마자 감동의 순간이 시작되어 마지막 캐리비안의해적까지 정말 시간가는 줄 모르는 최고의 콘서트였다. 다음번 다른주제로 진행되면 꼭 다시 참여할 것이다."
마음이 벅차올랐던 평일 점심의 콘서트 S2,"개인적으로 너무 좋아하는 음악들만 있어서 귀호강했어요!평일에 즐기는 여유가 이렇게 좋은지 새삼 또 다시 느꼈네요:) 앞으로 마티네 콘서트 자주 애용할 것 같아요! 앵콜 곡으로 나온 summer도 좋았고, 뭔가 한 여름에 이 음악들로 인해서 마음이 몽글몽글해지는 것 같았어요! 그리고 콘서트 가이드분도 계셔서 영화 음악들을 더 심도 깊게 이해할 수 있었던 것 같아요~ :)"
정말 감동실화,평소 좋아하던 밴드의 음악을 이렇게 오케스트라로 감상 할 수 있어서 감동이었습니다다른 분위기로 편곡 된 아름다운 연주였습니다.옆 관객분은 감동의 눈물까지 흘리시더라구요.평소 오케스트라 공연이 부담스러우셨던 분들도 충분히 즐길수 있어요.
환경콘서트 녹턴,"환경의 중요성과 관심을 갖게 하는 음악회로 풀피리 등
성악과 바이올린 연주 샹송 
영화ost k-판 등 다채로운 종합 선물같은
페트병으로 만든 드레스를 입은 모습을 보며
환경을 다시 생각해 보는좋은 공연이었다"
오페라를 잘 모르는 나에게도 신선함 경험,"오페라를 잘 모르지만 경험해 보고 싶어 예매를 하게 되었고 당연히 한국어로 진행이 되는 줄 알았던 내게 이탈리아어로 공연을 하여 찐 당황을 하게 되었다 ㅋㅋ

하지만 그래도 자막이 있어 너무 재밌고 유쾌하게 공연을 즐겼다. 줄거리는 단순했지만 그래도 고전의 명작이 이런거구나 하는 경험을 하게 되었다.

역시 백년이 지나도 사랑받는 공연은 다 이유가 있구나 하는 생각이 들게하는 경험을 정말 합리적인 가격으로 볼 수 있어서 감사했다."
클래식의 재미,클래식이 어렵다고 느껴지거나 지루하다고 느껴지신다면 꼭 한번 보시기를 추천합니다~사이사이 곡 소개와 재치 있는 멘트가 더해져 편하게 다가갈 수 있고 편곡 된 곡들은 색다른 감상도 느낄 수 있게 해주었어요. 방학을 맞아 기대를 안고 왔을 학생들도 함께 오신 부모님들도 모두 즐거운 음악회였으리라 생각해요.
한스짐머 영화음악 콘서트 꼭 보세요!!,"익숙하고 웅장한 영화 음악들을 오케스트라 콘서트로 관람하니, 듣는 내내 너무 좋아서 소름이 돋았어요. 오케스트라 음악 좋아하시는걸 좋아한다면 꼭 추천합니다! 클래식에 조예가 깊지 않아도, 익숙한 노래들이라 너무 좋은 시간이었어요. 콘서트홀도 너무 멋있게 생겼고, 무엇보다 하프와 일렉기타 소리가 다른 악기들과 조화롭게 뒤섞이는 것이 신기하고 멋있었습니다!"
취향저격 플레이리스트와 최고의 연주,"곡 리스트에 나와있던 곡 중 두세 곡 제외하면 다 아는 노래였고, 모르던 노래도 미리 듣고 가니 연주를 즐기기 더 좋았습니다! 평소에 콜드플레이 오케스트라 편곡도 자주 듣는데 지금까지 들어본 오케스트라 편곡 중 가장 자연스럽고 풍성했습니다. 현장에서 직접 들었기 때문에 더더욱 그런 것 같아요. 개인적으로 10만원 주고도 아깝지 않았을 공연입니다. 다음에 기회가 있다면 또 듣고싶네요"
처음으로 본 콘서트!,"작은언니 생일이라 힘 좀 써서 티켓을 구매했어요.저랑 언니 둘다 한스 짐머의 ost를 좋아했어서매우 만족스럽게 보았던 것 같아요. 지희자님의 열기가 그대로 느껴졌고, 움직임의 맞춰 리듬을 맞추는 단원들의 모습이 엄청 벌? 같았다고 느껴졌어요. 그럼 지희자님은 여왕벌이겠네요..ㅋㅋ[바이올렌 활들이 벌의 침 같이 반짝 빛나더라고요! 진짜 예뻤어요.]악기를 해본적도 없고 배운적도 없어서 이렇게 가까이에서 프로의 음악을 듣는 건 처음 이여서떨리고 즐거웠던 시간이였어요.다음에도 또 보고싶습니다! 감사히 잘 봤습니다!"
오랜만에 봤는데 너무 좋았어요,오랜만에 봤는데 너무 좋았어요감동적이었고 끝나가는게 너무 아쉬었어요또 보고싶어요
색다른 오케스트라 공연,"이전까지 봐왔던 오케스트라 공연과는 다른 공연이었어요.우아한 클래식도 좋지만 대중적인 노래들은 오케스트라로 들으니 또다른 매력이 있네요.연주자분들도, 특히 지휘자님이 즐기면서 공연하시는게 느껴져서 더 재밌게 즐길 수 있었습니다.지휘자분이 정말 유쾌하세요. 다음에 다른 공연도 또 보러 가겠습니다~!"
우와 감탄입니다,여러명의 합창이 조화로와서 한사람이 내듯 하나로 들리고솔리스트 네분 지휘 연주 모두 훌륭하고 감동적이었습니다.
재관람 의사 100%,어디서 이런 노래들의 오케스트라 편곡을 들어보겠어요! 연주자분들도 엄청 열정적이시고 편곡도 너무 좋아서 두시간동안 행복했습니다. 저는 기대 안한 saying ain't so가 뜻밖에 너무 좋아서 보물을 발견한 느낌이었어요ㅎㅎ 다음에 또 근처에 온다면 다시 가고 싶습니다!
오케스트라 짱~,"오케스트라를 처음 직관해봤는데 귀정화,마음정화라는게 확 느껴졌습니다. 자주자주 직관하면 좋을꺼같네요"
기립박수를 보냅니다!!!!!,"어제 연주회 봤었던 사람입니다. 태어나서 정말 공연 후 기립박수를 치고 싶었던 유일한 공연인데 차마 일어날 용기가 없었어요. 아직도 후회됩니다.ㅜㅜ 너무 너무 열정 넘치고 즐거운 공연이었어요.
(아쉬운건 다음 공연 예약 안내를 여러번이 아닌 한번만 해주셨으면 더 좋았을듯해요.^^ 지휘자님이 너무 애타게 그러시는게 제가 마음이 아팠어요 ㅠㅠ)"
