title,content
싸이흠뻑쇼,많은 공연을 봤지만 이런 공연은 처음이었다.정말 재미있었다.공연시간이 4시간 가량 되지만 지루할 틈이 없이 너무너무 즐거운 시간 이었다.나이가 들어서 그런가 요즘 가수 공연 보는 재미가 예전만 못하다고 느끼고 있었는데..싸이는 달랐다.기대이상 티켓 값이 전혀 아깝지 않은 공연이었다.체력이 되는한 매년 갈 생각이다.공연이 지루하다 느끼시는 분들은 싸이흠뻑쇼 꼭 보시길 강력추천 드립니다.
"나의 20대 버킷리스트를 달성하게 해준,, 재상이오빠","20대 초중반엔 돈이 없단 핑게로 미루다 미룬 싸이 흠뻑쇼. 왜 이제야 갔을까.

꿈같은 하루를 실현하게 해준 나의 우상 PSY
흠뻑쇼 30대에도 40대에 50대에도 함께할게요!
아프지만마요 춤노래는 저희가 할게요 흠뻑쇼만 참석해줘요!"
4시간동안 너무나 신난 쑈,"볼꺼리 즐길꺼리가 너무나 많은 쑈 1년동안 고함을 오늘 하루만에 다 찔렀어요 얌전히 앉아 있는사람도 들뜨게한 쑈
다음날까지 여운이 남아서 다음에 꼭 가고싶은 콘서트
워터파크 물놀이 같이 클럽에서 놀고 즐기는 느낌 
4시간동안 앉아 있지 못하게 만드는 쑈였습니다 싸이 짱이십니다"
4시간 신나게 놀다옴,너무 좋은 시간
4시간동안 정말 모든게 다 있는 쇼,"정말 정말 대박쑈  싸이흠뻑쑈는 놀꺼리 볼꺼리가 다 있고 워터파크수준의 물놀이 클럽온 느낌으로 너무 즐겼네용 얌전히 안 노는 사람과 같이 갔는데 더 좋아서 노는걸 보고 정말 찐이다 스탠딩은 꿈도 못꾸지만 정말 더 좋을듯
체력부족으로 스탠딩 못함 ㅎㅎㅎㅎ
싸이흠뻑쑈는 진짜 진짜 즐겁고 1년동안 목놓고 고함 찔러야 할것 다 함 ㅋㅋㅋ 다음날꺼지도 목이 쉬어서 ㅋㅋㅋㅋ열정적으로 놀다가 옴"
베몬 서울 팬미팅,기다리고 기다렸던 베몬 실물영접 ㅠㅠㅠㅠ다들 너무 예쁘고 춤도 잘춰 노래도 잘해 성량도 짱짱해 서울 콘서트 너무 기다려져요..와이지 일해라
SG,너무 즐거웠어요
현역가왕,"부천 현역가왕 콘서트 너무너무 즐거워 었어요 
다음에 또 준비해주시면 가고싶어요
감사합니다"
싸이흠뻑쇼,"재밌었어용 
지정석 이였는데 
다음에는 스탠딩으로 가보고 싶습니다 ^^"
올여름 최고의 시간,연말콘도 해줘.
흠뻑쇼는 매년 최고에요!,싸이 공연은 최고에요! 진짜 다리가 후들거릴정도로 후회없이 뛰어놀고 왔습니다!! 싸이의 흠뻑쇼때문에 매년 여름이 기다려집니다! 안가보신분들은 꼭 티켓팅 도전해서 가보시길!!
귀호강 눈호강의 콘서트,"시즌4 팀들과 라비던스의 공연 재밌게 즐겼습니다, 다만 아쉬웠던 건 이렇게 많은 싱어들을 한 자리에 두고 팀별로만 곡을 한게 아쉬웠지만 그래도 재밌게 눈호강 귀호강 �E네요 ㅎㅎ"
좋았어요,"추억여행좋네요
노래도 다 좋고 아는노래고..
행복했어요^^"
감동이였습니다,늘 감동의 문결입니다싸이 포에버~~~
감동이였습니다,싸이흠뻑쇼 해마다 보지만 늘 감동의 물결입니다싸이 포에버~~~
역시는 역시 싸이흠뻑쇼 최고입니당,너무 신나고 스트레스가 다풀려요 내년에도 또 가고싶습니다!!!
레전드 공연,"최고였고 잊을 수 없는 시간이었어요.
몇번이고 다시 보고싶은 공연인데
다시 올 수 없는 공연이라는 게 아쉬웠어요."
마지막 도시까지 완벽.,말이 필요없는 공연이었어요.마지막이라니 보낼수없어요!
이솔로몬 연무 콘서트 보고 왔습니다,"이솔로몬 연무 콘서트 보고 왔습니다인터파크랑 잘 맞는 것 같아요 많이 갔는데 다 중앙 1~2열만 앉았어요티켓팅 깔끔하게 성공하게 서버관리 잘해주시는 인팍에게 무한한 감사 인사를 드립니다연무 콘서트 공연장도 쾌적하고음향, 스토리, 무대 매너, 실력, 외모 그 어느 것 하나까지도 빠지는 부분이 없었던 공연이었습니다정말 최고의 공연이었다고 자부할 수 있었어요언제나 팬을 향한 진심된 마음으로 좋은 공연 보여주려고 노력하는 로몬 님 덕분이겠지요너무 감동이었고 행복했던 공연되었습니다다음 공연도 인터파크로 예매할 수 있으면 좋겠습니다너무 즐거웠고 가수님 멋있어서 혼났네요 아주"
이솔로몬 연무 콘서트 보고 왔습니다,"이솔로몬 연무 콘서트 보고 왔습니다인터파크랑 잘 맞는 것 같아요 많이 갔는데 다 중앙 1~2열만 앉았어요티켓팅 깔끔하게 성공하게 서버관리 잘해주시는 인팍에게 무한한 감사 인사를 드립니다연무 콘서트 공연장도 쾌적하고음향, 스토리, 무대 매너, 실력, 외모 그 어느 것 하나까지도 빠지는 부분이 없었던 공연이었습니다정말 최고의 공연이었다고 자부할 수 있었어요언제나 팬을 향한 진심된 마음으로 좋은 공연 보여주려고 노력하는 로몬 님 덕분이겠지요너무 감동이었고 행복했던 공연되었습니다다음 공연도 인터파크로 예매할 수 있으면 좋겠습니다너무 즐거웠고 가수님 멋있어서 혼났네요 아주"
이솔로몬 연무 콘서트 보고 왔습니다,"이솔로몬 연무 콘서트 보고 왔습니다인터파크랑 잘 맞는 것 같아요 많이 갔는데 다 중앙 1~2열만 앉았어요티켓팅 깔끔하게 성공하게 서버관리 잘해주시는 인팍에게 무한한 감사 인사를 드립니다연무 콘서트 공연장도 쾌적하고음향, 스토리, 무대 매너, 실력, 외모 그 어느 것 하나까지도 빠지는 부분이 없었던 공연이었습니다정말 최고의 공연이었다고 자부할 수 있었어요언제나 팬을 향한 진심된 마음으로 좋은 공연 보여주려고 노력하는 로몬 님 덕분이겠지요너무 감동이었고 행복했던 공연되었습니다다음 공연도 인터파크로 예매할 수 있으면 좋겠습니다너무 즐거웠고 가수님 멋있어서 혼났네요 아주"
이솔로몬 연무 콘서트 보고 왔습니다,"이솔로몬 연무 콘서트 보고 왔습니다인터파크랑 잘 맞는 것 같아요 많이 갔는데 다 중앙 1~2열만 앉았어요티켓팅 깔끔하게 성공하게 서버관리 잘해주시는 인팍에게 무한한 감사 인사를 드립니다연무 콘서트 공연장도 쾌적하고음향, 스토리, 무대 매너, 실력, 외모 그 어느 것 하나까지도 빠지는 부분이 없었던 공연이었습니다정말 최고의 공연이었다고 자부할 수 있었어요언제나 팬을 향한 진심된 마음으로 좋은 공연 보여주려고 노력하는 로몬 님 덕분이겠지요너무 감동이었고 행복했던 공연되었습니다다음 공연도 인터파크로 예매할 수 있으면 좋겠습니다너무 즐거웠고 가수님 멋있어서 혼났네요 아주"
31000명 박재쌍,너무 재밋었어요????
절대 놓치면 안돼는 공연,한국 가곡 같은 찔레꽃을 불렀다가본인곡 발라드를 연주했다가 댄스곡으로 객석을 들었다놨다 했다가정신없어 보이지만 또 하나도 정신없지도 않고연주에 집중하게 돼고요.무슨 유채훈 마법에 2시간 동안 걸렸다가 깨어난것 같은여태 있었던 적도 없고 앞으로도 다른 가수 그 누구도 할 수 없을것 같은경이로운 공연이었습니다.  거기가 춤까지 추시다니요.성악가 맞으신가요?  너무너무 멋진 공연을 딱 5 분간 본 느낌입니다.2시간을 넘게 봤는데 말이죠.
흠뻑쇼,미칩니다
달콤 그 자체였던 유채훈 스푸마토콘??,"3년째 같은 장소에서 치뤄진 유채훈 단독콘서트!!
더없이 행복했고, 즐거웠고, 신났던 콘서트!!!
편안히 맘껏 오리지널 곡을 열정적으로 부르는 
내 가수, 유! 채! 훈!
그를 보는 많은 팬들 중의 나도 
넘나 행복하고 감격스런 시간들이었다.
진짜 마법같은 순간들, 노래들이다??!! 
어떻게 들으면 들을수록 더 듣고싶은지??!!
앵콜콘이 없어 넘 아니 아주 많이 아쉽지만,,,,,
(진짜 없나봐ㅠㅠ)
또 내 가수를 내 라포엠을 볼 날을 애타는 맘으로 기다리며어제도, 지금도, 앞으로도 채훈 노래는 내 귀에~~~~????"
"첫 콘서트, 성공적","입장 전부터 심장 두근두근
입장 후 터질것 같은 심장박동
끝난지 2일이 지났지만, 여전히 생각나는 콘서트.
여운이 오래 갈 것 같습니다.."
후기!,"유다빈밴드 진짜 최고 그자체…..
유다밴 노래 듣는 걸 좋아해서 갔는데 그 날 이후로
입덕했습니다..???? 난 아직도 소극장에서 살아….
사랑합니다!!!!"
