year,month,day,team_1,team_2,score_1,score_2,location,mvp_player,review1,review2
2024,3,23,한화,LG,2,8,잠실,신민재,"
    2024-3-23에 잠실에서 열린 경기에서 LG가 한화를 상대로 8 대 2로 승리를 거두었습니다. LG는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 신민재가 MVP로 선정되었습니다. 이번 승리로 LG는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-23에 잠실에서 열린 경기에서 한화는 LG를 상대로 2 대 8로 아쉽게 패배하였습니다. 한화는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 LG의 공세를 막지 못했습니다. 이번 패배로 한화는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,23,롯데,SSG,3,5,문학,최정,"
    2024-3-23에 문학에서 열린 경기에서 SSG가 롯데를 상대로 5 대 3로 승리를 거두었습니다. SSG는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 최정가 MVP로 선정되었습니다. 이번 승리로 SSG는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-23에 문학에서 열린 경기에서 롯데는 SSG를 상대로 3 대 5로 아쉽게 패배하였습니다. 롯데는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 SSG의 공세를 막지 못했습니다. 이번 패배로 롯데는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,23,삼성,KT,6,2,수원,맥키넌,"
    2024-3-23에 수원에서 열린 경기에서 삼성가 KT를 상대로 6 대 2로 승리를 거두었습니다. 삼성는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 맥키넌가 MVP로 선정되었습니다. 이번 승리로 삼성는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-23에 수원에서 열린 경기에서 KT는 삼성를 상대로 2 대 6로 아쉽게 패배하였습니다. KT는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 삼성의 공세를 막지 못했습니다. 이번 패배로 KT는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,23,키움,KIA,5,7,광주,최형우,"
    2024-3-23에 광주에서 열린 경기에서 KIA가 키움를 상대로 7 대 5로 승리를 거두었습니다. KIA는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 최형우가 MVP로 선정되었습니다. 이번 승리로 KIA는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-23에 광주에서 열린 경기에서 키움는 KIA를 상대로 5 대 7로 아쉽게 패배하였습니다. 키움는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 KIA의 공세를 막지 못했습니다. 이번 패배로 키움는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,23,두산,NC,3,4,창원,알칸타라,"
    2024-3-23에 창원에서 열린 경기에서 NC가 두산를 상대로 4 대 3로 승리를 거두었습니다. NC는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 알칸타라가 MVP로 선정되었습니다. 이번 승리로 NC는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-23에 창원에서 열린 경기에서 두산는 NC를 상대로 3 대 4로 아쉽게 패배하였습니다. 두산는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 NC의 공세를 막지 못했습니다. 이번 패배로 두산는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,24,두산,NC,6,3,창원,브랜든,"
    2024-3-24에 창원에서 열린 경기에서 두산가 NC를 상대로 6 대 3로 승리를 거두었습니다. 두산는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 브랜든가 MVP로 선정되었습니다. 이번 승리로 두산는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-24에 창원에서 열린 경기에서 NC는 두산를 상대로 3 대 6로 아쉽게 패배하였습니다. NC는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 두산의 공세를 막지 못했습니다. 이번 패배로 NC는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,24,삼성,KT,11,8,수원,레예스,"
    2024-3-24에 수원에서 열린 경기에서 삼성가 KT를 상대로 11 대 8로 승리를 거두었습니다. 삼성는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 레예스가 MVP로 선정되었습니다. 이번 승리로 삼성는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-24에 수원에서 열린 경기에서 KT는 삼성를 상대로 8 대 11로 아쉽게 패배하였습니다. KT는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 삼성의 공세를 막지 못했습니다. 이번 패배로 KT는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,24,롯데,SSG,6,7,문학,엘리아스,"
    2024-3-24에 문학에서 열린 경기에서 SSG가 롯데를 상대로 7 대 6로 승리를 거두었습니다. SSG는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 엘리아스가 MVP로 선정되었습니다. 이번 승리로 SSG는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-24에 문학에서 열린 경기에서 롯데는 SSG를 상대로 6 대 7로 아쉽게 패배하였습니다. 롯데는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 SSG의 공세를 막지 못했습니다. 이번 패배로 롯데는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,24,한화,LG,8,4,잠실,페라자,"
    2024-3-24에 잠실에서 열린 경기에서 한화가 LG를 상대로 8 대 4로 승리를 거두었습니다. 한화는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 페라자가 MVP로 선정되었습니다. 이번 승리로 한화는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-24에 잠실에서 열린 경기에서 LG는 한화를 상대로 4 대 8로 아쉽게 패배하였습니다. LG는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 한화의 공세를 막지 못했습니다. 이번 패배로 LG는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,26,키움,NC,5,10,창원,김성욱,"
    2024-3-26에 창원에서 열린 경기에서 NC가 키움를 상대로 10 대 5로 승리를 거두었습니다. NC는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 김성욱가 MVP로 선정되었습니다. 이번 승리로 NC는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-26에 창원에서 열린 경기에서 키움는 NC를 상대로 5 대 10로 아쉽게 패배하였습니다. 키움는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 NC의 공세를 막지 못했습니다. 이번 패배로 키움는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
