title,content
세번 본 후기...볼까?말까?,"창작 뮤지컬 중 최고수준.

배우 넘버 깔 부분 없다

오스칼 세명 다 장단점 있다. 아무나 봐도 실패없다
앙드레 세명 다 장단점 있다. 아무나 봐도 실패없다


베르날 노윤과 서영택 두분 중 선택 추천한다
노윤은 세느강 기억 감성라인 쩐다. 
서영택 나머지 혁명관련 넘버들 싹다 개 쩐다.


폴리냑은 리사 안봤다면 회전문 다시돌자
비교불가다..후기서 어쩌고 하는거 물타기다
폴리냑은 리사다 암기과목이다.

무대좋고 의상좋다
후기에 이거 까는거 싹다 무시해라.

대사 많고 빠르다는 후기는 무시하자
외국인의 불평이다.

내용 끊긴다는 후기도 무시하자
주의력 결핍 증상이다.


꽂히는 넘버 없다는 후기도 무시하자
대충 떠올려도 겁나많은데 먼 소린지 이해불가다

다만 연출과 대본 정신차리고 다시 잘 다듬어보자


전반적으로 쩌는 작품이다


난 두번 더 볼 계획인데 오늘 티케팅 앞줄 실패해서 
겁나 우울하다 위로해 주자. 취소 기다려 본다


개취 조합 추천
옥주현 김성식 노윤 리사
정유지 고은성 서영택 리사
김지우 이해준 노윤 리사"
하데스타운은 조형균이다,조형균이 찐이다 진심
너무재밋엇다,"신성록님.. 또 보러가겠습니다 진짜로
또 보러 갈게요 너무 웅장하고 
캐릭터 자체가 너무 잘어울려요 
근데 같이 나오신 앙리가 진짜
하 앙리 �羔� 멋있어요 앙리,,
앙리에게 사랑에 빠져버�f어요"
첫 뮤지컬 정말 재밌었어요,갓 스무살인데 뮤지컬 보러 처음 갔어요. 청년문화예술패스 지원금으로 10만원 차감받고 42000원 주고 보러간 거였는데 왜 VIP좌석은 다 만석일까 했었는데 VIP석으로 또 보고싶을 정도로 정말 좋았던 뮤지컬이였어요. 친구가 시카고 정선아님이랑 민경아님 나오는 걸 보고싶다고 해서 찾다가 겨우 자리 남아서 7월 초에 예매했었네요. 커튼콜이 없어서 아쉬웠지만 두 배우님 모두 귀여우셨고 다른 배우분들도 너무 잘하시더라구요! R석이여도 잘 보였고 저희 앞 줄 여성분들은 미니 망원경 들고 오셨더라구요 ㅋㅋㅋ 확실히 배우분들 보려면 안경이나 망원경 챙겨오심 좋을 것 같아요! 다 좋았지만 뒷자리 여성분들과 옆옆자리 여성분들 매너가 좀 아쉬웠어요. 직원분들이 워치 불 들어오니까 빼거나 꺼달라고 10번 넘게 얘기해주셨는데 옆옆 분들은 워치가 계속 켜지고 뒷 분들은 배우 분들이 연기하시는데 엄청 크게 웃으셔서 다른 분들도 눈치 보시더라구요 그런 부분 빼면 정말 좋았던 시간이에요! 또 보러가고 싶네용
완벽햇다,"신성록씨.. 당신이 노랴를 그렇게 잘하는지
몰랐어요.. 며칠내내 후유증이 남을정도로"
또 보러갈래요,너무 재밌고 슬프기도하고 웅장하기도하고 다양한 감정이 드는 좋은 극입니다.꼭 보시길 추천드립니다.
기대 이상의 뮤지컬,일본 특유의 느낌을 잘 살릴 수 있을까 생각하기도 했고 내용이 잘 와닿을까도 고민했는데 모두 필요없고 너무 재밌었고 넘버를 들으면서 소름이 끼친 작품이였다.
역시 전기수,작년 지방 공연때 재미있게 봐서 이번엔 가족들이랑 봤는데 다들 즐겁게 봤습니다~  역시 전기수 네요~ ^^*
추억 속 '베르샤유의 장미',"어렸을때 TV 봤던 영상을 뮤지컬 형식으로 보게 되는날이 올줄은 몰랐습니다. 제목하나 만으로 선택한 뮤지컬..
화려함의 정점을 보여준, 추억의 애니 >.<
기회가 된다면 다른 배우로 관람할 계획입니다.^^"
조명의 아름다운 퍼포먼스와 딱맞는 배우들의 열연,"제목부터 눈에 이끌리는 ''하데스타운''이란 이름에 걸맞게 신비롭고 매력적인 뮤지컬이었습니다. 조명을 활용한 퍼포먼스는 감탄을 자아내기에 충분한 연출이었고, 배우들은 역할에 알맞은 연기를 하여 쉽게 세계관에 몰입 할 수 있었습니다. 그리고 라이브 밴드의 연주 실력은 이 뮤지컬 무대를 한 밴드의 컨셉 공연처럼 느껴져 다른 뮤지컬과는 색다른 매력으로 저에게 와닿았습니다. 기회가 된다면 다른 배우들의 연기와 가창을 보고 들으며 다른 매력으로 즐겨보고 싶네요! 잘 봤습니다."
너무 재밌게 아이들이 봤네요,달 샤베트보고 나오자마자 달샤베트 먹고싶다고 사달라고 하더라구요 집에서와서는 노래 들으면서 따라하고요 나무 재밌게 잘 봤습니다. 다른 뮤지컬도 너무 기대되네요!
나는 불행하기에 악하다,"이번 프랑켄슈타인으로 처음 뮤지컬을 입문했습니다
정말 쉴새없이 몰아치는 전개에 마치 3시간이 30분처럼 느껴질만큼 몰입해서 봤어요!

빅터.. 안타까운 과거와 그걸 극복하려고 했던 노력이 결국 비극으로 가는 길이었고, 그렇게 혼자가 되어 마지막에 울부짖는 장면이 너무 가슴아팠습니다. 빅터는 그저 사랑하는 사람들을 잃기 싫었던것뿐인데...

앙리.. 그리고 괴물. 
'나는 불행하기에 악하다.' 가 괴물 그 자체를 나타내는것 같았어요. 괴물이 처음엔 순수했지만 불행한 일을 너무 많이 겪으면서 완전히 악하게 변해서 복수에 성공했지만.. 글쎄요. 이걸 복수의 성공이라고 불러도 될까요? 괴물에게도 아무것도 남지 않았는데....

첫 관극이 너무 재밌어서 많이 찾아봤는데 배우분들마다 해석이 달라서 다른분들은 어떻게 하셨을지 너무 궁금한데 곧 프랑켄슈타인이 막을 내린다는게 너무 슬픕니다 ㅠㅠ

넘버들도 중독성있고 너무 좋아서 계속 들으며 흥얼거리고 있습니다
특히 전동석 배우님의 생명창조는 실제로 봤을때 너무 강렬해서 좋았어요
오늘도 프랑켄슈타인의 넘버를 들으며 다음에 또 볼 날을 기약하고 있습니다!"
원작을 사랑하는 사람들에겐 최고의 공연,"베르사이유의 장미 원작을 
너무 재미있게 봤던 터라
기대 반 걱정 반으로 공연을 접했습니다.

내용부터 대사 하나하나까지 얼마나 성의있게
원작의 내용을 담으려 애썼는지 
느껴지는 공연이였어요.

오스칼의 상황에 따라 바뀌는 
여러가지 색깔의 군복들도 직접 볼수있었던게
개인적으로는 너무 흥미로웠던 기억이네요.

기존 공연을 접하기 전에는 
다소 어렵고 난해하게 느껴졌던 넘버들도
막상 공연을 보며 듣게되니
먹먹한 결말에 잘 어울려서 좋았습니다.
 
오래 기억에 남을 공연이예요."
박열,"정말 재밌게 봤어요 
잘만든극입니다 많이들 보세요"
너무 좋았어요,가까이에서 볼 수 있는 게 제일 큰 장점같아요
정말 조았어요,어떻게 사랑을 이렇게 표현할 수 있을까요 정말 어쩌면 해피엔딩이라는 제목이 잘 어울려요
기대이상 너무 행복한시간이였어요.,"베르사유 장미는 나의 어린시절 감성이라 기대는 안하고 봤는데 생각보다 더 더 즐거운 시간이였습니다. 눈물까지 흘릴 줄이아~~~ㅎㅎ
 김지우 배우님 작품 첨봤는데 진짜 너무 잘하셔서 놀랐습니다. 다른 배우 분들도 누구하나 빠짐 없이 모두 최고세요. 무대. 의상. 노래 진짜 감동까지 또 보고싶네요."
한글용사 아이야~!!,"아이가 좋아하는 한글용사 아이야 !!
아이가 너무 좋아했어요^^
즐거운 시간보내고와서 너무 좋았습니다.^^"
