title,content
빠른입장은,역시 모바일 티켓이죠 ^^
첫경기 관람,첫 경기 관람인데 너무 재미있게 봤어요~~
두산화이팅,아들은 휴가중..^^아빠와 아들 함께 두산 응원하러 경기장에 출동.... 더운날 선수들 모두모두 화이팅 입니다 곽빈 힘내세요
수원수원수원!!!,"우리는 수원삼성이다
부셔버려 안양!!!!!!!!!
지지대더비의 승자는 항상 수원삼성 이였다
1부로 올라가는 날 머지 않았다
힘을 내라 수원!"
축구,너무 재미있었다
행복했습니다.,평일이고 더웠지만 승리해서 좋았습니다~
미르스타다움,트랙이 있는 구장이라 시야가 걱정 되었는데 최근에 건립된 구장이라 관람이 매우 좋았습니다.
모든 선수들 파이팅!,"부상없이, 멋진 경기력 펼치길 바랍니다.더운 날씨에도 수고가 많아요."
좋아요~! 몸만가면 되고,"바로앞에 공원있어서 산책하기도 좋구요
추천합니다"
미르에서으ㅏ 첫 경기,주차나 교통등이 좀 아쉬운 경기였지만 그래도 경기는 너무너무 좋았습니다
제 인생최고의.캠핑장,"집에서 40분거리  
2박하기좋고 식량떨어지면 20여분거리 안성스타필드로 장보기도 좋고.
샤워장, 물놀이장, 화장실,편의점  
너무 좋아요. 
특히 아들이 너무 좋아하는곳

A사이트 강추"
강력추천,모바일 티켓으로 별도 발행없이 잘 다녀옴
미르 첫 경기 좋았습니다.,미르 첫경기 주차난에 너무 더웠지만 이겨서 너무 행복했습니다.
용인 미르 스타디움에서의 첫 경기,"좋았다! 시설도 좋았고, 시설물에 상태도 좋았다!딱 한가지, 주차시설이 부족한게 흠이지만 경기 마치고 경찰분들의 도로교통 인도로 진짜 막힘 없이 올 수 있었다. 모든것에 감사한다!"
수원삼성짱,미르에서 직관은 처음인데 시설도 좋고 깔끔하고 승리해서 더더욱 좋습니다
뜻깊은승리 첫 미르스타디움,"미르스타디움 깨끗하고 쾌적한경기였네요.
굿굿"
직관,이겨서 좋았습니다.
수원경기는 역시 직관이,최고 입니다! 그들의 응원열기 국내 원탑
지지대더비,"이겨서 다행입니다.
우리 승격할 수 있습니다."
올해 마지막 경기,"였네요.
수원 축구, 그리울 겁니다."
이기자,화이팅
경기는 졌지만,"잘봤습니다
에어컨 좋아요"
힐링하고 왔어요^^,"경관도 아름답고
시설도 깨끗하고
편히 쉬다 왔어요
다음이 기대 됩니다"
좋아,좋아용
정비필요.,"홀컵주변 너무엉망입니다.
이런데서 대회를한다는게 창피합니다.
정비후 대회개체요합니다"
재밌어요,경기가 길어져서 힘들었지만 이겨서 다행이었어요
재밌어요,경기가 길어져서 힘들었지만 이겨서 다행이었어요
경기 관람 잘 했습니다.,방학 맞이 해서 아이들과 처음으로 축구 관람 했습니다.tv에서만 경기 보다가 직접 관람 하니 생동감 넘치고 재미있었습니다. 날씨가 조금 덥긴 했지만 아이들과 좋은 추억 만들었네요축구 관람 첨이라서 경기장 반입 음료 규정을 잘 몰라 당황 했네요경기 관람 가실분들은 캔 음료 반입 안되고 600이하 패트병만 가능하니 참고 하세요~~!!
끝까지 열심히,"이제 얼마 남지 않은 시즌
끝까지 열심히 최선을 다해서 해냈으면 좋겠어요
화이팅"
가깝고 재밌었습니다 진게 아쉽지만,"예매도 편히하고 자리도 나쁘지않았습니다
가성비너무좋은자리였던 
단지 경기를 진게 아쉬웠어요"
K2도 K1만큼 치열하다,"첫 직관이었던 K리그2. 서울이랜드와 부산아이파크의 경기.K리그 클래식만큼 사람이 많지 않아서 오히려 좋았뎐 경험이었다.선수들도 더 가까이 보고, 경기에도 더 집중할 수 있었다.서포터즈 수는 적었지만, 응원 열기만큼은 여느 큰 구단에 뒤지지 않았다.응원 열기도 바로 느낄 수 있어서 축구장에 온 기분을 더욱 느낄 수 있었다.K리그2라서 재미가 없을 것 같다는 인식이 있을 수 있는데, 직관을 해보면 확실히 다르다.기회가 된다면, 꼭 직관을 경험해 보시길 추천!"
드디어 홈 첫승~!,5월 직관이후 홈 6경기째 방문에서k2리그 2위 전남드래곤즈를 1:0으로 극적으로 이겨버렸네요아이가 내심 자기가 보러오면 계속져서 속으로 의기소침해 있었는데너무 좋아하네요~!다음 안산경기도 또 갈꺼에요~
천왕산 캠프,"처음 캠프이용을 했다.
날씨가 덥고, 해가 있는 시간에는 이용하기가 어려웠다
야간에는 좀 시원했는데, 옆 텐트에 술마시러 온 사람들이 새벽까지 시끄럽게 떠들어서 잠을 설쳤다. 그래서 아침에 일찍 일어나기가 어려웠는데, 해가 뜨면 더워서 철수할 수 밖에 없다. 단지 텐트치고 음식해 먹고... 이벤트 거리가 부족하다"
잘보고 왔어요,축구광인 아들이 수원FC 윤빛가람 팬이라 더운 날이지만 애매를 인터파크 통해 쉽게 했습니다 ~ 모바일 티켓으로 바로 입장해서 ~ 자리도 미리 예매한 덕에 좋은 자리로 겟 ! 덥긴하지만 생동감 있는 경기 신나게 보고 왔어요 ~ !! 다음에도 기회 되면 예매해서 보러갈래요 ~~
폭염에 시원하게 보내고 왔네요,"2인용 카라반 아담하니 너무 좋았어요
3인 가족이 지내기에 딱 좋네요.
다음에는 4인 카라반 도전해요"
재밌게 잘 봤습니다.,게임이 길어진게 오히려 좋았습니다.다음에도 예매 성공하면 꼭 보러 가려구요 ㅎㅎ
천안 찢었드아~!!!,"천안 홈경기 첫 승~!!!!!!!
툰가라 데뷔 골~!!!!
잘한드아 우리 천안~~!!!!!
우리 천안시티FC선수들 사랑합니다.
응원합니다.??"
즐거운 시간,편하게 인터파크에서 티켓을 구매 후 줄 안서고 가변석에서 열심히 응원도 하고 즐거운 하루였던거 같아요^^인터파크 응원합니다.
굿,재밌어용ㅎ
lck,더 넓은데로 가주삼
재미따,잼서요
역시 예매는 인터파크,앱 이용하기도 편리하고 보기도 좋아요
잘보고 왔어요,모바일티켓이 확실히 편한거 같아요
기캐쵸페리 화이팅!,젠지 화이팅
최고최고,최고최고
최강두산!,두산~ 그대의 이름은 승리! 점수를 너무 많이 내줘서 힘빠졌지만 그래도 응원은 재밌었어요!
Good,잘봤습니다! 다음에 또 기대할게요
재밌...어요,재밌네요
굿굿,잘봤습니다!!!!!
재밌었어요.,첫 2부리그 직관인데 골도 풍성하게 나오고 좋았습니다.
재밌어요,예상못한 설정과 전개. 재밌게 봤습니다
돔구장,시원하고 좋아요~~~
