title,content
아이들의 창의력이 반짝이는 공연!??,"저희 7살 딸은 공연에 호불호가 확실한 편입니다.
아이는 그림을 그리거나 재활용품으로 만드는 것을 매우 좋아해요. 이런 아이에게 폴리팝은 혼자만 해왔던 손 안의 만들기들이 되살아나는 감동을 충분히 느끼고도 남았습니다.
빛과 그림자 모형틀과 미디어의 조합.
그리고 무엇보다 모든 배우님들의 웃음짓게 만드는 청량한 연기에 아이들이 모두 까르르~ 넘어갔답니다.
무대의 연출이나 배우님들은 참으로 따뜻한데..
보여지는 스토리는 저희 아이의 눈을 반짝이게 해주셨어요. 보이지는 않지만 아이들의 창의력이 후루루루~ 만들어지는거 같달까?^^
창의력 제로인 저도 굉장히 흥미롭고 재미있게 관극할 수 있었습니다. 역시 브러쉬씨어터 최고!??????"
좋아서 걍력추천합니다.,"황정민 배우를 비롯한 모든 분들이 준비를 많이 하시어, 감명 깊게 관람했습니다."
신체에 무언가 닿는 사람은 비추천 합니당,공포스러운것도 있았지만 배우분들과 관객의 티키타카가 어느정도 괜찮아서 그런지 재미있으면서도 무서웠습니당 첫연극 관람인데 만족했어요 추천합니다??
죽여주는 이야기~~,"째미있었어요.
관객이랑 같이 하는 연극이라서
좋았어요.~??"
너무 재밌었어용 !!,몰입하기 좋았고 배우님들이 너무 재밌게 연기하셔서 즐겁게 관람했어요 ! 다음에 또 봐야겠어요 >_<
아이랑같이 보러왔어요~,딸아이 재미있어서 웃고저도웃고 즐거운 시간되었어요~??
체고!,왕재밌습니다 굿굿 ????
상상 이상으로 쟈미있었어요!,한 시간동안 너무 즐겁게 웃을 수 있었던 소중한 시간이었습니다. 감사합니다!
즐거운 시간,"방학맞아 아이들이랑 와서 즐거운 시간 보내고 갑니다.
생각외로 재미나고 열정가득한 배우들의 연기에 힐링하고 갑니다. 감사합니다.^^"
재미있었어요,다시 보고싶어요!
진짜 재밌네요!!,자살이라는 주제로 블랙코미디 진행하시는데 불쾌한 장면 하나없이 진짜 공연내내 웃고 나왔네요 혼자 와서 봤는데 누구든지 같이 와서 보면 더 좋을듯해요 !!
정말 재미 있어요~!,최근 본 연극 중 가장 재미있었습니다! 그리고 배우분들이 연기를 너무 잘 하셔서 감동이었습니다. 내용도 너무 재미있고 마지막에 의미도 있고... 최고입니다! 꼭 보세요!
재밌었어요,배우분들 딕션도 좋으시고 실감나는 연기가 생생하게 극에 몰입할 수 있어서 좋았습니다! 다음에 다른 친구들과 와보고 싶어요
너무 재밌어요~,재밌게 잘 봤습니다~ 생각해 볼만한 주제여서 더 좋았어요~ 배우들의 열연도 너무 좋았습니다!
로이M.콘,"이효정배우님이 프라이어의 죽은 선조로 나왔을 때 순간 다른 배우인 줄 알았어요.
성공한 변호사로는 강하고 거만한 느낌, 선조로는 왠지 장난스럽고 귀여운 느낌이었다랄까...
연기 잘한다는 말로는 부족해요.
완전 빠져들게 하는 힘이 있었어요. 완전 기대이상!
[엔젤스 인 아메리카] 하면 이효정배우님이 가장 먼저 생각나요!!"
MBTI 대문자 E는 꼭 봐야할연극!,"진짜 관객참여형 연극중에 최고였습니다
특히 맨앞자리 구석에 앉은 죄로...
쓰레기통이 되버린 1인 이지만 ㅋㅋㅋ
진짜 간만에 너무 재밌고 죽여줬습니다!
자살을 거꾸로하면 살자!
알고는있었지만 연극 보고 막판에 읊어주시는데
캬~~~~~~~
지금하는 플젝 끝나는데로 회사 단체 관람도 추진예정입니다 ㅎㅎㅎ
다들 수고하세요 진짜 감사했습니다!"
정말 최고~~!!,"아이들과 연극을 보러갔는데, 배우님들의 연기, 재미, 시설 모두모두 너무나도 좋았습니다.
날씨가 너무너무 더운데도 열정적으로 공연해주시고, 우리 가족에데 좋은 추억 만들어주신 배우님들께 감사드립니다. 최고~~!!"
웃고 싶은 분들께 추천~,왜 이제서야 봤을까요? 너무 너무 재미있었어요 정말 광대가 아프다는 후기를 공감하고 왔습니다. 김상묵 주우성 안태영 배우님 매력에 퐁당~  지방에 살아 자주 가기는 어렵지만 연극 보러 가끔 가기로 했어요~ 100분이 진짜 순삭~ 아직 못보신분들 꼭 보세요~
오랜만인 연극!! 너무 좋았다!!!,유승호 배우님의 첫 연극연기 재밌게 보고 왔어요!!
연극 재밌게 보고왔어요!,유승호 배우님의 첫 연극연기 재밌게 보고 왔어요!!
